Supermarket,4/05/2026,5/05/2026,6/05/2026,7/05/2026,8/05/2026,9/05/2026,10/05/2026,11/05/2026,12/05/2026,13/05/2026,14/05/2026,15/05/2026,16/05/2026,17/05/2026,18/05/2026,19/05/2026,20/05/2026,21/05/2026,22/05/2026,23/05/2026,24/05/2026,25/05/2026,26/05/2026,27/05/2026,28/05/2026,29/05/2026,30/05/2026,31/05/2026,1/06/2026,2/06/2026,3/06/2026,4/06/2026,5/06/2026,6/06/2026,7/06/2026,8/06/2026,9/06/2026,10/06/2026,11/06/2026,12/06/2026,13/06/2026,14/06/2026,15/06/2026,16/06/2026,17/06/2026,18/06/2026,19/06/2026,20/06/2026,21/06/2026,22/06/2026,23/06/2026,24/06/2026,25/06/2026,26/06/2026,27/06/2026,28/06/2026
Four Square Botany Junction,4,1,3,1,4,0,0,2,4,4,1,1,1,0,4,3,4,3,4,0,0,1,4,3,2,4,0,0,0,4,1,3,1,0,0,2,3,4,1,2,1,0,4,2,2,4,2,0,0,1,4,1,2,3,1,0
Four Square Britomart,1,3,1,3,2,0,0,1,2,3,4,3,0,0,1,1,4,1,4,0,0,3,1,3,2,1,0,0,0,3,2,4,3,0,0,3,4,2,2,2,0,0,3,4,1,4,1,1,0,2,2,3,3,1,1,0
Four Square Cockle Bay,4,2,1,2,1,0,0,1,2,1,1,4,0,0,1,4,3,3,2,0,0,1,4,1,3,4,0,0,0,4,1,3,1,0,0,1,4,1,2,4,0,0,3,2,3,1,4,0,0,3,1,1,1,3,0,0
Four Square Eden Terrace,3,2,2,4,3,0,0,2,1,2,2,1,0,0,2,1,3,1,2,0,0,3,1,4,4,4,1,0,0,3,1,3,4,0,0,4,4,3,3,1,1,0,4,3,2,2,3,0,0,4,2,3,1,1,0,0
Four Square Ellerslie,2,4,3,4,2,0,0,1,1,3,1,2,0,0,4,3,2,4,1,1,0,1,4,1,1,1,1,0,0,4,40,2,1,0,0,2,1,3,2,2,0,0,3,2,4,4,4,0,0,1,4,4,1,2,1,0
Four Square Fair Price Henderson,3,4,1,3,4,1,0,4,4,3,1,1,0,0,3,4,4,4,1,0,0,1,4,1,1,2,1,0,0,3,2,1,2,0,0,2,1,4,2,1,0,0,1,2,2,3,1,1,0,1,3,4,4,4,0,0
Four Square Glen Eden,4,4,3,4,1,0,0,2,2,2,2,3,1,0,1,3,4,4,3,1,0,1,1,2,4,4,1,0,0,1,2,4,2,0,0,3,4,1,4,1,1,0,3,2,2,4,3,0,0,2,1,4,2,2,1,0
Four Square Hobsonville,3,2,2,4,2,1,0,2,4,2,1,1,1,0,4,3,4,4,1,1,0,3,3,1,4,2,0,0,0,1,1,2,4,0,0,3,1,3,1,1,0,0,4,4,4,2,2,1,0,4,4,4,4,2,1,0
Four Square Lancaster,4,1,4,4,2,0,0,2,2,3,2,3,0,0,1,1,3,4,1,1,0,2,4,3,3,4,0,0,0,3,2,3,4,1,0,1,1,1,2,2,1,0,2,2,4,3,3,1,0,3,1,1,1,4,1,0
Four Square Onehunga,2,4,4,1,3,0,0,3,2,2,3,4,1,0,2,2,1,1,1,1,0,1,3,3,1,2,0,0,0,1,2,1,3,0,0,3,2,4,2,3,1,0,2,4,3,1,4,0,0,1,3,2,2,2,0,0
