,New World Albany,New World Birkenhead,New World Botany,New World Browns Bay,New World Devonport,New World Eastridge,New World Green Bay,New World Hobsonville,New World Howick,New World Long Bay,New World Metro Shore City,New World Metro Queen St,New World Milford,New World Mt Albert,New World Mt Roskill,New World New Lynn,New World Newmarket,New World Ormiston,New World Papakura,New World Papatoetoe,New World Point Chevalier,New World Remuera,New World Southmall,New World Stonefields,New World Victoria Park,Pak 'n Save Albany,Pak 'n Save Botany,Pak 'n Save Clendon,Pak 'n Save Glen Innes,Pak 'n Save Highland Park,Pak 'n Save Henderson,Pak 'n Save Lincoln Road,Pak 'n Save Mangere,Pak 'n Save Manukau,Pak 'n Save Mt Albert,Pak 'n Save Ormiston,Pak 'n Save Papakura,Pak 'n Save Royal Oak,Pak 'n Save Sylvia Park,Pak 'n Save Wairau Road,Pak 'n Save Westgate,Four Square Botany Junction,Four Square Britomart,Four Square Cockle Bay,Four Square Eden Terrace,Four Square Ellerslie,Four Square Fair Price Henderson,Four Square Glen Eden,Four Square Hobsonville,Four Square Lancaster,Four Square Onehunga,Four Square Remuera,Four Square Pakuranga Heights,Four Square St Heliers,Four Square Torbay,Warehouse
New World Albany,0,1470.51,3101.44,479.95,1869.22,2541.95,2990.95,1138.07,3257.73,775.57,1196.67,1631.56,936.06,1941.84,2551.9,2554.05,1733.23,3273.15,3677.53,2894.75,1903.32,1977.91,3191.44,2368.61,1482.97,132.46,3102.58,3665.46,2843.72,3059.37,2172.75,1720.55,3267.82,2848.95,2146.12,3316.76,3596.28,2237.74,2352.69,812.76,1408.02,3146.69,1656.58,3442.85,1950.65,2022.96,1923.01,2690.91,1182.54,1338.75,2328.42,2103.09,2830.98,2892.45,831.43,2676.59
New World Birkenhead,1468,0,2718.46,1665.65,1702.64,2158.97,2428.56,1790.47,2874.76,1854.86,1030.08,1248.58,1052.05,1558.87,1989.51,2218.17,1350.26,2890.18,3294.56,2511.77,1520.34,1594.94,2808.46,1985.64,1100,1425.49,2719.6,3282.49,2460.74,2676.4,2423.01,2153.67,2705.43,2465.98,1763.15,2933.79,3213.3,1854.77,1969.71,765.3,2060.42,2763.72,1273.61,3059.88,1567.68,1639.98,2356.14,2586.07,1834.94,430.36,1945.44,1720.11,2448,2509.47,1910.72,2114.2
New World Botany,3129.53,2643.59,0,3327.19,3364.18,1690.27,2837.36,3118.31,590.26,3516.4,2691.62,1901.96,2895.07,2073.08,2241.29,2760.6,1637.76,543.63,1755.84,1120.63,2034.55,1605.71,1269.75,1255.63,1982.48,3087.03,127.46,1719.59,1359.81,614.63,2937.22,2667.88,1694.84,846.33,2277.36,587.24,1674.59,1683.57,1083.98,2724.91,2879.21,437.27,1977.16,616.89,1717.5,1325.54,2870.34,3222.14,3162.77,2954.65,1537.76,1589.71,504.59,1620.61,3572.26,2365.98
New World Browns Bay,471.74,1648.94,3279.88,0,2047.66,2720.38,3169.39,1316.51,3436.17,611.9,1375.1,1809.99,1114.5,2120.28,2730.34,2732.49,1911.67,3451.59,3855.97,3073.18,2081.76,2156.35,3369.87,2547.05,1661.41,588.19,3281.01,3843.9,3022.16,3237.81,2351.19,1898.98,3446.26,3027.39,2324.56,3495.2,3774.72,2416.18,2531.13,991.2,1586.46,3325.13,1835.02,3621.29,2129.09,2201.39,2101.45,2869.35,1360.98,1517.19,2506.85,2281.52,3009.41,3070.88,435.93,2855.02
New World Devonport,1923.82,1649.23,3280.16,2121.47,0,2720.67,2990.26,2246.3,3436.46,2310.69,914.62,1810.28,1239.1,2120.57,2551.21,2779.87,1911.96,3451.88,3856.26,3073.47,2082.04,2156.64,3370.16,2547.33,1661.7,1881.32,3281.3,3844.19,3022.44,3238.1,2984.71,2715.37,3267.13,3027.68,2324.85,3495.49,3775,2416.47,2531.41,1519.19,2516.25,3325.42,1835.31,3621.57,2129.38,2201.68,2917.83,3147.77,2290.77,1870.67,2507.14,2281.81,3009.7,3071.17,2366.55,2675.9
New World Eastridge,2587.76,2101.82,1774.2,2785.41,2822.4,0,2266.06,2441.59,1908.57,2974.62,2149.84,964.85,2353.3,1396.36,1827,2055.66,824.53,2152.52,2556.9,1774.11,1357.84,669.29,2070.8,809.96,1440.7,2545.25,1775.34,2544.82,601.35,1710.2,2260.5,1991.17,2542.92,1728.32,1600.64,2196.13,2475.64,1215.41,1232.05,2183.13,2202.5,2026.06,908.83,2093.68,1175.72,840.67,2193.63,2423.57,2486.06,2412.87,1182.7,545.59,1481.81,514.21,3030.48,1951.69
New World Green Bay,2921.81,2353.6,2932.17,3119.46,3074.18,2445.79,0,2089.82,3161.58,3308.68,2401.62,1718.66,2605.08,1030.44,791.85,468.63,1637.08,2713.9,2897.37,2008.78,1078.92,1881.76,2411.27,2272.46,1677.65,2879.31,2999.48,2432.08,2747.57,2963.22,1250.43,1639.39,1694.5,2169.86,691.58,2757.51,2816.11,1291.97,2256.54,2434.91,1850.72,2587.44,1753.97,3346.7,1486.41,1926.81,1554.13,583.55,2134.28,2664.65,1283.71,2006.94,2734.82,2796.29,3364.53,856.44
New World Hobsonville,1262.81,1984.69,3197.59,1460.46,2383.41,2638.1,2156.34,0,3353.89,1649.68,1710.85,1910.96,1450.24,1615.73,1717.28,1719.43,1829.39,3369.31,3773.69,2747.48,1330.15,2074.06,3287.59,2464.76,1869.95,1220.31,3198.73,3170.79,2939.87,3155.53,1338.14,885.93,2433.21,2945.11,1627.51,3412.92,3692.43,2030.67,2448.84,1326.94,573.41,3242.85,1946.28,3539,1678.72,2119.11,1088.39,1856.3,102.95,1632.67,2022.42,2199.24,2927.13,2988.6,1705.53,1841.97
New World Howick,3300.36,2814.43,607.24,3498.01,3535.01,1852.05,3113.6,3289.14,0,3687.23,2862.45,2072.79,3065.91,2243.91,2674.55,2903.21,1808.59,1117.27,2329.49,1633.35,2205.38,1776.54,1843.39,1417.4,2153.31,3257.86,537.05,2293.24,1521.59,268.55,3108.05,2838.71,2268.48,1419.98,2448.19,1160.88,2248.24,1854.4,1254.81,2895.74,3050.04,1010.92,2147.99,232.88,1888.33,1496.37,3041.17,3271.11,3333.6,3125.48,1708.59,1760.54,613.64,1782.39,3743.09,2799.24
New World Long Bay,795.8,1884.19,3515.12,622.19,2282.91,2955.63,3404.64,1551.76,3671.42,0,1610.35,2045.24,1349.75,2355.52,2965.58,2967.73,2146.92,3686.83,4091.22,3308.43,2317,2391.59,3605.12,2782.29,1896.66,892.46,3516.26,4079.14,3257.4,3473.05,2586.43,2134.23,3681.5,3262.64,2559.81,3730.45,4009.96,2651.43,2766.37,1226.44,1821.71,3560.38,2070.27,3856.53,2364.34,2436.64,2336.69,3104.6,1596.22,1752.43,2742.1,2516.77,3244.66,3306.13,220.7,3090.27
