Type,Location,Supermarket,Long,Lat
New World,Albany,New World Albany,174.710513,-36.7281436
New World,Birkenhead,New World Birkenhead,174.7114858,-36.8114278
New World,Botany,New World Botany,174.9114914,-36.9338828
New World,Browns Bay,New World Browns Bay,174.7472869,-36.7159615
New World,Devonport,New World Devonport,174.7961934,-36.8295102
New World,Eastridge,New World Eastridge,174.829238,-36.86099
New World,Green Bay,New World Green Bay,174.6790458,-36.9308233
New World,Hobsonville,New World Hobsonville,174.6449706,-36.79934866
New World,Howick,New World Howick,174.9248668,-36.904065
New World,Long Bay,New World Long Bay,174.7396625,-36.6852502
New World Metro,Shore City,New World Metro Shore City,174.7699787,-36.787821
New World Metro,Queen St,New World Metro Queen St,174.7657806,-36.8464718
New World,Milford,New World Milford,174.7648051,-36.7722983
New World,Mt Albert,New World Mt Albert,174.726019,-36.8803127
New World,Mt Roskill,New World Mt Roskill,174.7344444,-36.9086111
New World,New Lynn,New World New Lynn,174.6855069,-36.9108233
New World,Newmarket,New World Newmarket,174.7779037,-36.87200791
New World,Ormiston,New World Ormiston,174.911826,-36.9645274
New World,Papakura,New World Papakura,174.9411007,-37.064268
New World,Papatoetoe,New World Papatoetoe,174.8539063,-36.9802417
New World,Point Chevalier,New World Point Chevalier,174.7127114,-36.86976449
New World,Remuera,New World Remuera,174.7976545,-36.8819007
New World,Southmall,New World Southmall,174.8967004,-37.0225053
New World,Stonefields,New World Stonefields,174.831971,-36.8902739
New World,Victoria Park,New World Victoria Park,174.7512927,-36.8486497
Pak 'n Save,Albany,Pak 'n Save Albany,174.7071498,-36.730108
Pak 'n Save,Botany,Pak 'n Save Botany,174.9128891,-36.9305535
Pak 'n Save,Clendon,Pak 'n Save Clendon,174.867622,-37.0328005
Pak 'n Save,Glen Innes,Pak 'n Save Glen Innes,174.855104,-36.875811
Pak 'n Save,Highland Park,Pak 'n Save Highland Park,174.9068675,-36.8990418
Pak 'n Save,Henderson,Pak 'n Save Henderson,174.6325345,-36.8772956
Pak 'n Save,Lincoln Road,Pak 'n Save Lincoln Road,174.6281678,-36.8574574
Pak 'n Save,Mangere,Pak 'n Save Mangere,174.7970282,-36.9684476
Pak 'n Save,Manukau,Pak 'n Save Manukau,174.880734,-36.9878442
Pak 'n Save,Mt Albert,Pak 'n Save Mt Albert,174.7055616,-36.89331716
Pak 'n Save,Ormiston,Pak 'n Save Ormiston,174.9148097,-36.9650866
Pak 'n Save,Papakura,Pak 'n Save Papakura,174.9311235,-37.0535182
Pak 'n Save,Royal Oak,Pak 'n Save Royal Oak,174.7746132,-36.9100403
Pak 'n Save,Sylvia Park,Pak 'n Save Sylvia Park,174.8400897,-36.9133467
Pak 'n Save,Wairau Road,Pak 'n Save Wairau Road,174.744093,-36.778998
Pak 'n Save,Westgate,Pak 'n Save Westgate,174.6085373,-36.8204832
Four Square,Botany Junction,Four Square Botany Junction,174.90233,-36.9651717
Four Square,Britomart,Four Square Britomart,174.7676134,-36.84452381
Four Square,Cockle Bay,Four Square Cockle Bay,174.9392803,-36.9042058
Four Square,Eden Terrace,Four Square Eden Terrace,174.7598679,-36.86554906
Four Square,Ellerslie,Four Square Ellerslie,174.8096805,-36.8979098
Four Square,Fair Price Henderson,Four Square Fair Price Henderson,174.614478,-36.863634
Four Square,Glen Eden,Four Square Glen Eden,174.651446,-36.910914
Four Square,Hobsonville,Four Square Hobsonville,174.6492036,-36.7982349
Four Square,Lancaster,Four Square Lancaster,174.694978,-36.789503
Four Square,Onehunga,Four Square Onehunga,174.7851014,-36.9187942
Four Square,Remuera,Four Square Remuera,174.8117388,-36.88049823
Four Square,Pakuranga Heights,Four Square Pakuranga Heights,174.8895497,-36.9151401
Four Square,St Heliers,Four Square St Heliers,174.8577912,-36.8508932
Four Square,Torbay,Four Square Torbay,174.750635,-36.6949969
Warehouse,,Warehouse,174.7281051,-36.9079041
