Supermarket,IRLS_Huber_Average
Pak 'n Save Sylvia Park,11
Pak 'n Save Westgate,10
Pak 'n Save Lincoln Road,10
Pak 'n Save Glen Innes,10
Pak 'n Save Royal Oak,10
Pak 'n Save Papakura,10
Pak 'n Save Ormiston,10
Pak 'n Save Clendon,10
Pak 'n Save Henderson,10
Pak 'n Save Botany,9
Pak 'n Save Albany,9
Pak 'n Save Wairau Road,9
Pak 'n Save Manukau,9
Pak 'n Save Highland Park,9
Pak 'n Save Mt Albert,9
Pak 'n Save Mangere,9
New World Albany,8
New World Botany,7
New World Remuera,7
New World Hobsonville,7
New World Milford,7
New World Mt Albert,7
New World Papakura,7
New World Devonport,7
New World Birkenhead,7
New World Long Bay,7
New World Stonefields,7
New World Green Bay,7
New World Howick,7
New World Victoria Park,7
New World Mt Roskill,7
New World Browns Bay,7
New World Papatoetoe,7
New World Ormiston,7
New World Eastridge,7
New World Newmarket,7
New World New Lynn,7
New World Southmall,7
New World Point Chevalier,6
Four Square Remuera,4
Four Square Torbay,3
Four Square Hobsonville,3
Four Square Botany Junction,3
Four Square Glen Eden,3
Four Square Eden Terrace,3
New World Metro Queen St,3
Four Square Fair Price Henderson,3
Four Square Lancaster,3
Four Square Ellerslie,3
Four Square St Heliers,3
Four Square Britomart,3
New World Metro Shore City,3
Four Square Onehunga,3
Four Square Cockle Bay,3
Four Square Pakuranga Heights,3
