Supermarket,IRLS_Huber_Average
Pak 'n Save Henderson,6
Pak 'n Save Royal Oak,6
Pak 'n Save Ormiston,6
Pak 'n Save Lincoln Road,6
Pak 'n Save Botany,6
Pak 'n Save Mangere,6
Pak 'n Save Glen Innes,6
Pak 'n Save Sylvia Park,6
Pak 'n Save Papakura,5
Pak 'n Save Manukau,5
Pak 'n Save Mt Albert,5
Pak 'n Save Clendon,5
Pak 'n Save Albany,5
Pak 'n Save Highland Park,5
Pak 'n Save Wairau Road,4
Pak 'n Save Westgate,4
New World Albany,3
New World Victoria Park,3
New World Mt Albert,3
New World Papatoetoe,3
New World Hobsonville,3
New World Birkenhead,2
New World Point Chevalier,2
New World Howick,2
New World Long Bay,2
New World Milford,2
New World Green Bay,2
New World Botany,2
New World Southmall,2
New World Ormiston,2
New World Eastridge,2
New World Devonport,2
New World Remuera,2
New World Stonefields,2
New World Papakura,2
New World New Lynn,2
New World Browns Bay,2
New World Newmarket,2
New World Mt Roskill,2
New World Metro Queen St,1
Four Square St Heliers,1
Four Square Pakuranga Heights,1
Four Square Glen Eden,1
Four Square Hobsonville,1
Four Square Lancaster,1
Four Square Remuera,1
Four Square Onehunga,1
New World Metro Shore City,1
Four Square Fair Price Henderson,1
Four Square Ellerslie,1
Four Square Botany Junction,1
Four Square Britomart,1
Four Square Eden Terrace,1
Four Square Torbay,1
Four Square Cockle Bay,0
