RouteIndex,Stops,NoTraffic_mins,08:00,09:00,10:00,11:00,14:00,15:00,16:00,17:00
1,Origin -> New World Newmarket -> Pak 'n Save Sylvia Park -> New World Remuera -> Origin,78.64,0.8393,0.8901,0.9537,1.0173,1.03,1.03,1.0173,0.9791
2,Origin -> New World Hobsonville -> Four Square Hobsonville -> Four Square Lancaster -> Pak 'n Save Westgate -> Origin,114.34,0.7521,0.7696,0.7871,0.8046,0.7958,0.7958,0.7958,0.7871
3,Origin -> New World Point Chevalier -> Pak 'n Save Lincoln Road -> New World Mt Albert -> Origin,65.76,0.8212,0.8516,0.8972,0.9429,0.9429,0.9277,0.9125,0.9125
4,Origin -> New World Victoria Park -> New World Long Bay -> New World Devonport -> New World Metro Queen St -> Origin,146.2,0.7866,0.8276,0.8687,0.896,0.8892,0.8755,0.8618,0.8413
5,Origin -> Pak 'n Save Clendon -> New World Southmall -> Origin,71.8,0.8078,0.8357,0.8496,0.8775,0.8775,0.8775,0.8775,0.8635
6,Origin -> Pak 'n Save Highland Park -> New World Howick -> New World Stonefields -> Origin,95.4,0.8491,0.891,0.933,0.9644,0.9644,0.9539,0.9434,0.9225
7,Origin -> Pak 'n Save Manukau -> New World Ormiston -> New World Papatoetoe -> Origin,78.95,0.912,0.9373,0.9753,1.0006,1.0006,1.0006,1.0006,0.988
8,Origin -> Pak 'n Save Mt Albert -> Pak 'n Save Mangere -> Origin,51.77,1.0044,1.0237,1.043,1.0623,1.0623,1.0623,1.0623,1.0623
9,Origin -> Pak 'n Save Papakura -> New World Papakura -> Origin,83.51,0.7424,0.7544,0.7783,0.8023,0.8023,0.7903,0.7903,0.7903
10,Origin -> Pak 'n Save Royal Oak -> Origin,26.89,1.004,1.0412,1.1156,1.1899,1.2271,1.1899,1.1899,1.1527
11,Origin -> Pak 'n Save Wairau Road -> New World Milford -> New World Birkenhead -> Origin,96.6,0.8281,0.8488,0.8696,0.8903,0.8903,0.8903,0.8903,0.8696
12,Origin -> Four Square Glen Eden -> Pak 'n Save Henderson -> New World Green Bay -> Origin,68.96,0.9135,0.928,0.957,0.986,0.986,0.986,0.9715,0.9715
13,Origin -> Four Square St Heliers -> Pak 'n Save Glen Innes -> New World Eastridge -> Origin,91.08,0.8124,0.8344,0.8673,0.9003,0.8893,0.8893,0.8893,0.8783
14,Origin -> New World Botany -> Pak 'n Save Botany -> Four Square Pakuranga Heights -> Origin,90.1,0.7325,0.7547,0.7991,0.8213,0.8102,0.8102,0.8102,0.788
15,Origin -> New World Mt Roskill -> Pak 'n Save Ormiston -> New World New Lynn -> Origin,94.56,0.846,0.8777,0.9095,0.9412,0.9306,0.9306,0.9306,0.92
16,Origin -> New World Albany -> New World Browns Bay -> Pak 'n Save Albany -> Origin,106.18,0.7629,0.7911,0.8194,0.8476,0.8382,0.8288,0.8288,0.8194
