Destination,Time,ToStore_mins,FromStore_mins
New World Albany,08:00,30,31
New World Albany,09:00,30,32
New World Albany,10:00,31,33
New World Albany,11:00,32,34
New World Albany,14:00,32,34
New World Albany,15:00,32,34
New World Albany,16:00,32,34
New World Albany,17:00,32,34
New World Birkenhead,08:00,27,26
New World Birkenhead,09:00,28,27
New World Birkenhead,10:00,28,27
New World Birkenhead,11:00,29,28
New World Birkenhead,14:00,29,28
New World Birkenhead,15:00,29,28
New World Birkenhead,16:00,29,28
New World Birkenhead,17:00,29,28
New World Botany,08:00,29,30
New World Botany,09:00,30,30
New World Botany,10:00,32,32
New World Botany,11:00,32,32
New World Botany,14:00,32,32
New World Botany,15:00,32,32
New World Botany,16:00,32,32
New World Botany,17:00,32,32
New World Browns Bay,08:00,34,34
New World Browns Bay,09:00,35,35
New World Browns Bay,10:00,36,37
New World Browns Bay,11:00,37,38
New World Browns Bay,14:00,37,38
New World Browns Bay,15:00,37,38
New World Browns Bay,16:00,37,37
New World Browns Bay,17:00,37,38
New World Devonport,08:00,32,31
New World Devonport,09:00,34,32
New World Devonport,10:00,37,33
New World Devonport,11:00,39,34
New World Devonport,14:00,39,34
New World Devonport,15:00,38,35
New World Devonport,16:00,37,35
New World Devonport,17:00,36,34
New World Eastridge,08:00,27,26
New World Eastridge,09:00,28,27
New World Eastridge,10:00,29,27
New World Eastridge,11:00,30,28
New World Eastridge,14:00,30,28
New World Eastridge,15:00,29,28
New World Eastridge,16:00,29,28
New World Eastridge,17:00,29,28
New World Green Bay,08:00,12,12
New World Green Bay,09:00,12,13
New World Green Bay,10:00,13,13
New World Green Bay,11:00,13,13
New World Green Bay,14:00,13,13
New World Green Bay,15:00,13,13
New World Green Bay,16:00,13,13
New World Green Bay,17:00,13,13
New World Hobsonville,08:00,21,23
New World Hobsonville,09:00,22,23
New World Hobsonville,10:00,22,24
New World Hobsonville,11:00,23,24
New World Hobsonville,14:00,23,24
New World Hobsonville,15:00,23,24
New World Hobsonville,16:00,23,24
New World Hobsonville,17:00,23,24
New World Howick,08:00,30,31
New World Howick,09:00,31,32
New World Howick,10:00,32,33
New World Howick,11:00,34,34
New World Howick,14:00,33,35
New World Howick,15:00,34,35
New World Howick,16:00,34,34
New World Howick,17:00,33,34
New World Long Bay,08:00,35,36
New World Long Bay,09:00,36,37
New World Long Bay,10:00,37,38
New World Long Bay,11:00,38,39
New World Long Bay,14:00,38,39
New World Long Bay,15:00,38,39
New World Long Bay,16:00,38,39
New World Long Bay,17:00,38,39
New World Metro Shore City,08:00,25,24
New World Metro Shore City,09:00,26,24
New World Metro Shore City,10:00,27,25
New World Metro Shore City,11:00,28,25
New World Metro Shore City,14:00,28,26
New World Metro Shore City,15:00,28,26
New World Metro Shore City,16:00,28,26
New World Metro Shore City,17:00,27,26
New World Metro Queen St,08:00,20,20
New World Metro Queen St,09:00,21,20
New World Metro Queen St,10:00,21,20
New World Metro Queen St,11:00,22,21
New World Metro Queen St,14:00,22,21
New World Metro Queen St,15:00,22,21
New World Metro Queen St,16:00,22,22
New World Metro Queen St,17:00,22,22
New World Milford,08:00,27,26
New World Milford,09:00,28,26
New World Milford,10:00,29,27
New World Milford,11:00,30,28
New World Milford,14:00,30,28
New World Milford,15:00,30,28
New World Milford,16:00,30,28
New World Milford,17:00,30,28
New World Mt Albert,08:00,11,12
New World Mt Albert,09:00,12,12
New World Mt Albert,10:00,12,13
New World Mt Albert,11:00,12,13
New World Mt Albert,14:00,12,13
New World Mt Albert,15:00,13,13
New World Mt Albert,16:00,13,13
New World Mt Albert,17:00,13,13
New World Mt Roskill,08:00,4,6
New World Mt Roskill,09:00,4,6
New World Mt Roskill,10:00,4,6
New World Mt Roskill,11:00,4,6
New World Mt Roskill,14:00,4,6
New World Mt Roskill,15:00,4,6
New World Mt Roskill,16:00,4,6
New World Mt Roskill,17:00,4,6
New World New Lynn,08:00,13,13
New World New Lynn,09:00,13,14
New World New Lynn,10:00,14,15
New World New Lynn,11:00,15,16
New World New Lynn,14:00,15,16
New World New Lynn,15:00,15,16
New World New Lynn,16:00,15,16
New World New Lynn,17:00,15,15
New World Newmarket,08:00,18,19
New World Newmarket,09:00,19,20
New World Newmarket,10:00,21,20
New World Newmarket,11:00,22,21
New World Newmarket,14:00,22,22
New World Newmarket,15:00,22,22
New World Newmarket,16:00,22,22
New World Newmarket,17:00,22,22
New World Ormiston,08:00,28,28
New World Ormiston,09:00,29,29
New World Ormiston,10:00,30,30
New World Ormiston,11:00,31,31
New World Ormiston,14:00,32,31
New World Ormiston,15:00,32,31
New World Ormiston,16:00,32,31
New World Ormiston,17:00,31,31
New World Papakura,08:00,28,29
New World Papakura,09:00,28,30
New World Papakura,10:00,28,30
New World Papakura,11:00,29,31
New World Papakura,14:00,29,31
New World Papakura,15:00,29,31
New World Papakura,16:00,29,31
New World Papakura,17:00,29,31
New World Papatoetoe,08:00,20,22
New World Papatoetoe,09:00,21,22
New World Papatoetoe,10:00,21,22
New World Papatoetoe,11:00,22,23
New World Papatoetoe,14:00,22,23
New World Papatoetoe,15:00,22,23
New World Papatoetoe,16:00,22,23
New World Papatoetoe,17:00,22,23
New World Point Chevalier,08:00,14,15
New World Point Chevalier,09:00,14,15
New World Point Chevalier,10:00,15,15
New World Point Chevalier,11:00,15,16
New World Point Chevalier,14:00,16,16
New World Point Chevalier,15:00,16,16
New World Point Chevalier,16:00,16,16
