RouteIndex,Stops,NoTraffic_mins,08:00,09:00,10:00,11:00,14:00,15:00,16:00,17:00
1,Origin -> New World Birkenhead -> Origin,70.43,1.1217,0.9797,0.9087,0.9087,0.9371,1.0223,1.1927,1.1927
2,Origin -> New World Hobsonville -> Origin,61.5,1.057,0.8944,0.8618,0.8618,0.8781,0.9269,1.057,1.1058
3,Origin -> New World Howick -> Origin,85.83,1.0369,0.9321,0.8855,0.8971,0.967,1.0835,1.1651,1.1301
4,Origin -> New World Southmall -> Origin,63.23,1.0912,0.9489,0.8856,0.8856,0.9805,1.281,1.5815,1.4391
5,Origin -> New World Stonefields -> Origin,65.52,1.1294,1.0836,1.0073,1.0073,1.0531,1.1141,1.221,1.1752
6,Origin -> New World Victoria Park -> Four Square Eden Terrace -> Origin,51.71,1.1603,1.0829,1.0056,1.0056,1.0056,1.0636,1.1989,1.2376
7,Origin -> Pak 'n Save Albany -> Origin,87.67,0.9582,0.8441,0.7985,0.7871,0.8327,0.8897,1.0152,1.0266
8,Origin -> Pak 'n Save Botany -> Origin,82.29,1.0572,0.96,0.8993,0.9114,0.9965,1.1301,1.2395,1.1666
9,Origin -> Pak 'n Save Clendon -> Origin,63.46,1.1347,0.9928,0.9455,0.9455,1.0401,1.2922,1.5444,1.4026
10,Origin -> Pak 'n Save Glen Innes -> Origin,80.72,1.0406,0.9663,0.9539,0.9539,0.9911,1.053,1.1273,1.0778
11,Origin -> Pak 'n Save Highland Park -> Origin,79.31,1.0214,0.9079,0.87,0.87,0.9457,1.0592,1.1601,1.1348
12,Origin -> Pak 'n Save Henderson -> Origin,55.85,1.1459,0.9848,0.931,0.931,0.9668,1.0564,1.1996,1.2175
13,Origin -> Pak 'n Save Lincoln Road -> Origin,47.36,1.2456,1.0556,0.9923,0.9923,1.0345,1.1612,1.3301,1.3512
14,Origin -> Pak 'n Save Mangere -> Origin,38.66,1.1899,1.0864,1.0347,1.0347,1.0864,1.1899,1.3192,1.3709
15,Origin -> Pak 'n Save Manukau -> Origin,55.95,1.1261,0.9831,0.9295,0.9295,1.0189,1.287,1.6087,1.4836
16,Origin -> Pak 'n Save Mt Albert -> Origin,21.65,1.4316,1.3854,1.3392,1.3392,1.3854,1.3854,1.4316,1.4778
17,Origin -> Pak 'n Save Ormiston -> Origin,73.62,1.1138,0.978,0.9372,0.9372,1.0595,1.3176,1.5213,1.3447
18,Origin -> Pak 'n Save Papakura -> Origin,77.86,1.0018,0.8734,0.8348,0.8348,0.9504,1.2201,1.4513,1.2843
19,Origin -> Pak 'n Save Royal Oak -> Origin,26.89,1.413,1.3387,1.2271,1.2271,1.2643,1.3387,1.4502,1.4874
20,Origin -> Pak 'n Save Sylvia Park -> Origin,65.49,1.0077,0.9161,0.9161,0.9161,0.9772,1.0383,1.1299,1.0841
21,Origin -> Pak 'n Save Wairau Road -> Origin,71.35,1.1212,0.9671,0.897,0.897,0.939,1.0512,1.2334,1.2194
22,Origin -> Pak 'n Save Westgate -> Origin,53.98,1.13,0.9633,0.9262,0.9262,0.9447,1.0003,1.1115,1.1485
23,Origin -> Four Square Botany Junction -> Four Square Cockle Bay -> Origin,101.23,1.0373,0.9681,0.9385,0.9187,1.0373,1.1459,1.2348,1.1558
24,Origin -> Four Square Britomart -> Four Square St Heliers -> New World Metro Queen St -> Origin,89.18,1.211,1.1101,1.0653,1.0653,1.0877,1.1662,1.2447,1.1886
25,Origin -> New World Botany -> Origin,79.86,1.0894,0.9517,0.9141,0.9266,1.0518,1.177,1.2897,1.2146
