RouteIndex,Stops,NoTraffic_mins,08:00,09:00,10:00,11:00,14:00,15:00,16:00,17:00
1,Origin -> New World Birkenhead -> Origin,70.43,1.0507,0.9229,0.8661,0.8519,0.8803,0.9513,1.1075,1.1217
2,Origin -> New World Hobsonville -> Origin,61.5,0.9594,0.8131,0.7643,0.7643,0.7805,0.8293,0.9432,0.9919
3,Origin -> New World Howick -> Origin,85.83,0.967,0.8622,0.8272,0.8272,0.8971,1.002,1.0835,1.0602
4,Origin -> New World Southmall -> Origin,63.23,1.0121,0.8698,0.8065,0.8065,0.8856,1.1545,1.4549,1.3442
5,Origin -> New World Stonefields -> Origin,65.52,1.0225,0.9462,0.9005,0.9005,0.931,1.0073,1.0989,1.0836
6,Origin -> New World Victoria Park -> Four Square Eden Terrace -> Origin,51.71,1.0636,0.9862,0.9089,0.8895,0.9089,0.9669,1.0636,1.1022
7,Origin -> Pak 'n Save Albany -> Origin,87.67,0.8897,0.7757,0.73,0.73,0.7529,0.8099,0.924,0.9468
8,Origin -> Pak 'n Save Botany -> Origin,82.29,0.9722,0.875,0.8385,0.8506,0.9236,1.0451,1.1423,1.0937
9,Origin -> Pak 'n Save Clendon -> Origin,63.46,1.0716,0.9455,0.8983,0.8983,0.9771,1.1819,1.4341,1.3238
10,Origin -> Pak 'n Save Glen Innes -> Origin,80.72,0.9415,0.8796,0.8424,0.8548,0.8796,0.9663,1.0282,0.9911
11,Origin -> Pak 'n Save Highland Park -> Origin,79.31,0.9583,0.8448,0.807,0.807,0.87,0.9835,1.0718,1.0592
12,Origin -> Pak 'n Save Henderson -> Origin,55.85,1.0564,0.9131,0.8594,0.8594,0.8952,0.9668,1.0922,1.1101
13,Origin -> Pak 'n Save Lincoln Road -> Origin,47.36,1.1823,0.9923,0.929,0.929,0.9712,1.0767,1.2456,1.2668
14,Origin -> Pak 'n Save Mangere -> Origin,38.66,1.1381,1.0347,0.9829,0.9829,1.0347,1.1381,1.2675,1.2933
15,Origin -> Pak 'n Save Manukau -> Origin,55.95,1.0546,0.9474,0.8937,0.8937,0.9652,1.1976,1.5015,1.3942
16,Origin -> Pak 'n Save Mt Albert -> Origin,21.65,1.293,1.293,1.2469,1.2469,1.2469,1.293,1.3392,1.3854
17,Origin -> Pak 'n Save Ormiston -> Origin,73.62,1.0323,0.9101,0.8693,0.8693,0.9644,1.1953,1.3583,1.2497
18,Origin -> Pak 'n Save Papakura -> Origin,77.86,0.9376,0.8091,0.7706,0.7706,0.8605,1.1045,1.3357,1.1944
19,Origin -> Pak 'n Save Royal Oak -> Origin,26.89,1.3015,1.2271,1.1527,1.1527,1.1899,1.2271,1.3387,1.3759
20,Origin -> Pak 'n Save Sylvia Park -> Origin,65.49,0.9314,0.8551,0.8245,0.8245,0.8703,0.9314,1.023,1.0077
21,Origin -> Pak 'n Save Wairau Road -> Origin,71.35,1.0231,0.897,0.8269,0.8269,0.855,0.9531,1.1212,1.1212
22,Origin -> Pak 'n Save Westgate -> Origin,53.98,1.0744,0.9077,0.8706,0.8892,0.8892,0.9447,1.0374,1.0744
23,Origin -> Four Square Botany Junction -> Four Square Cockle Bay -> Origin,101.23,0.9582,0.8792,0.8496,0.8496,0.9286,1.0471,1.0965,1.0373
24,Origin -> Four Square Britomart -> Four Square St Heliers -> New World Metro Queen St -> Origin,89.18,1.1101,1.054,1.0092,0.998,1.0204,1.0877,1.1662,1.1213
25,Origin -> New World Botany -> Origin,79.86,1.0017,0.889,0.864,0.8515,0.9642,1.0894,1.2021,1.1395
26,Origin -> Four Square Ellerslie -> New World Newmarket -> Origin,62.49,1.0721,0.9921,0.9601,0.9601,0.9921,1.0561,1.1521,1.1361
27,Origin -> Four Square Fair Price Henderson -> New World Point Chevalier -> Origin,62.1,1.1433,0.9823,0.934,0.934,0.9984,1.095,1.2077,1.2238
28,Origin -> Four Square Glen Eden -> New World Green Bay -> Origin,45.43,1.1005,1.0124,0.9684,0.9904,0.9904,1.0124,1.0785,1.1005
29,Origin -> Four Square Lancaster -> New World Metro Shore City -> Origin,92.81,1.0128,0.9158,0.8727,0.8619,0.905,0.9805,1.099,1.0667
30,Origin -> Four Square Onehunga -> New World Remuera -> Origin,51.34,1.1881,1.0907,1.0323,1.0323,1.0712,1.1297,1.1881,1.1881
31,Origin -> Four Square Pakuranga Heights -> Four Square Remuera -> Origin,81.45,1.0435,0.9699,0.9208,0.933,0.9576,1.019,1.1049,1.0926
32,Origin -> Four Square Torbay -> Four Square Hobsonville -> Origin,109.73,0.8658,0.7837,0.7655,0.7564,0.7837,0.8384,0.9296,0.9296
33,Origin -> New World Eastridge -> Origin,69.26,0.9963,0.8952,0.8519,0.8375,0.8663,0.9241,1.0252,1.0396
34,Origin -> New World Milford -> Origin,75.45,1.0072,0.8747,0.8084,0.8084,0.835,0.9277,1.0868,1.0735
35,Origin -> New World Mt Albert -> Origin,24.23,1.1969,1.1143,1.0318,1.0318,1.0731,1.0731,1.1556,1.1969
