RouteIndex,Stops,Pallets,OriginalEst_mins,08:00,09:00,10:00,11:00,14:00,15:00,16:00,17:00
1,Origin -> New World Birkenhead -> Origin,7.0,196,79,69,64,64,66,72,84,84
2,Origin -> New World Hobsonville -> Origin,7.0,188,65,55,53,53,54,57,65,68
3,Origin -> New World Howick -> Origin,7.0,204,89,80,76,77,83,93,100,97
4,Origin -> New World Southmall -> Origin,7.0,189,69,60,56,56,62,81,100,91
5,Origin -> New World Stonefields -> Origin,7.0,194,74,71,66,66,69,73,80,77
6,Origin -> New World Victoria Park -> Four Square Eden Terrace -> Origin,10.0,234,60,56,52,52,52,55,62,64
7,Origin -> Pak 'n Save Albany -> Origin,9.0,250,84,74,70,69,73,78,89,90
8,Origin -> Pak 'n Save Botany -> Origin,9.0,245,87,79,74,75,82,93,102,96
9,Origin -> Pak 'n Save Clendon -> Origin,10.0,244,72,63,60,60,66,82,98,89
10,Origin -> Pak 'n Save Glen Innes -> Origin,10.0,264,84,78,77,77,80,85,91,87
11,Origin -> Pak 'n Save Highland Park -> Origin,9.0,234,81,72,69,69,75,84,92,90
12,Origin -> Pak 'n Save Henderson -> Origin,10.0,236,64,55,52,52,54,59,67,68
13,Origin -> Pak 'n Save Lincoln Road -> Origin,10.0,227,59,50,47,47,49,55,63,64
14,Origin -> Pak 'n Save Mangere -> Origin,9.0,202,46,42,40,40,42,46,51,53
15,Origin -> Pak 'n Save Manukau -> Origin,9.0,217,63,55,52,52,57,72,90,83
16,Origin -> Pak 'n Save Mt Albert -> Origin,9.0,184,31,30,29,29,30,30,31,32
17,Origin -> Pak 'n Save Ormiston -> Origin,10.0,255,82,72,69,69,78,97,112,99
18,Origin -> Pak 'n Save Papakura -> Origin,10.0,257,78,68,65,65,74,95,113,100
19,Origin -> Pak 'n Save Royal Oak -> Origin,10.0,206,38,36,33,33,34,36,39,40
20,Origin -> Pak 'n Save Sylvia Park -> Origin,11.0,265,66,60,60,60,64,68,74,71
21,Origin -> Pak 'n Save Wairau Road -> Origin,9.0,235,80,69,64,64,67,75,88,87
22,Origin -> Pak 'n Save Westgate -> Origin,10.0,234,61,52,50,50,51,54,60,62
23,Origin -> Four Square Botany Junction -> Four Square Cockle Bay -> Origin,6.0,201,105,98,95,93,105,116,125,117
24,Origin -> Four Square Britomart -> Four Square St Heliers -> New World Metro Queen St -> Origin,9.0,234,108,99,95,95,97,104,111,106
25,Origin -> New World Botany -> Origin,7.0,207,87,76,73,74,84,94,103,97
26,Origin -> Four Square Ellerslie -> New World Newmarket -> Origin,10.0,240,70,68,64,64,67,70,80,77
27,Origin -> Four Square Fair Price Henderson -> New World Point Chevalier -> Origin,9.0,226,76,65,62,62,66,73,84,83
28,Origin -> Four Square Glen Eden -> New World Green Bay -> Origin,10.0,225,55,51,49,50,49,50,52,54
29,Origin -> Four Square Lancaster -> New World Metro Shore City -> Origin,6.0,203,102,92,88,87,92,100,111,107
30,Origin -> Four Square Onehunga -> New World Remuera -> Origin,10.0,232,67,60,57,57,59,63,68,67
31,Origin -> Four Square Pakuranga Heights -> Four Square Remuera -> Origin,7.0,209,96,85,80,81,88,92,97,97
32,Origin -> Four Square Torbay -> Four Square Hobsonville -> Origin,6.0,218,103,93,91,90,94,100,111,110
33,Origin -> New World Eastridge -> Origin,7.0,199,74,68,63,63,64,70,80,79
34,Origin -> New World Milford -> Origin,7.0,205,82,72,66,66,69,77,90,88
35,Origin -> New World Mt Albert -> Origin,7.0,151,31,28,27,27,27,28,30,31
36,Origin -> New World Mt Roskill -> Origin,7.0,133,12,11,11,11,11,11,12,12
37,Origin -> New World New Lynn -> Origin,7.0,154,41,37,35,35,36,38,40,41
38,Origin -> New World Ormiston -> Origin,7.0,200,81,71,68,68,76,95,111,99
39,Origin -> New World Papakura -> Origin,7.0,206,83,71,67,67,76,98,116,102
40,Origin -> New World Papatoetoe -> Origin,7.0,176,58,53,50,50,55,67,82,78
