RouteIndex,Stops,NoTraffic_mins,08:00,09:00,10:00,11:00,14:00,15:00,16:00,17:00
1,Origin -> New World Albany -> Origin,89.27,0.9745,0.8625,0.8177,0.8065,0.8401,0.9073,1.0305,1.053
2,Origin -> New World Birkenhead -> Origin,70.43,1.1217,0.9797,0.9087,0.9087,0.9371,1.0223,1.1927,1.1927
3,Origin -> New World Hobsonville -> Origin,61.5,1.057,0.8944,0.8618,0.8618,0.8781,0.9269,1.057,1.1058
4,Origin -> New World Point Chevalier -> Four Square Hobsonville -> Origin,72.11,0.9985,0.8737,0.8459,0.8737,0.9014,0.9707,1.0678,1.0678
5,Origin -> New World Howick -> Origin,85.83,1.0369,0.9321,0.8855,0.8971,0.967,1.0835,1.1651,1.1301
6,Origin -> New World Southmall -> Origin,63.23,1.0912,0.9489,0.8856,0.8856,0.9805,1.281,1.5815,1.4391
7,Origin -> New World Stonefields -> Origin,65.52,1.1294,1.0836,1.0073,1.0073,1.0531,1.1141,1.221,1.1752
8,Origin -> Pak 'n Save Albany -> Origin,87.67,0.9582,0.8441,0.7985,0.7871,0.8327,0.8897,1.0152,1.0266
9,Origin -> Pak 'n Save Botany -> Origin,82.29,1.0572,0.96,0.8993,0.9114,0.9965,1.1301,1.2395,1.1666
10,Origin -> Pak 'n Save Clendon -> Origin,63.46,1.1347,0.9928,0.9455,0.9455,1.0401,1.2922,1.5444,1.4026
11,Origin -> New World Long Bay -> Origin,102.62,0.955,0.8576,0.8186,0.8088,0.8478,0.9063,1.0135,1.0232
12,Origin -> Pak 'n Save Glen Innes -> Origin,80.72,1.0406,0.9663,0.9539,0.9539,0.9911,1.053,1.1273,1.0778
13,Origin -> Pak 'n Save Highland Park -> Origin,79.31,1.0214,0.9079,0.87,0.87,0.9457,1.0592,1.1601,1.1348
14,Origin -> Pak 'n Save Henderson -> Origin,55.85,1.1459,0.9848,0.931,0.931,0.9668,1.0564,1.1996,1.2175
15,Origin -> Pak 'n Save Lincoln Road -> Origin,47.36,1.2456,1.0556,0.9923,0.9923,1.0345,1.1612,1.3301,1.3512
16,Origin -> Pak 'n Save Mangere -> Origin,38.66,1.1899,1.0864,1.0347,1.0347,1.0864,1.1899,1.3192,1.3709
17,Origin -> Pak 'n Save Manukau -> Origin,55.95,1.1261,0.9831,0.9295,0.9295,1.0189,1.287,1.6087,1.4836
18,Origin -> Pak 'n Save Mt Albert -> Origin,21.65,1.4316,1.3854,1.3392,1.3392,1.3854,1.3854,1.4316,1.4778
19,Origin -> Pak 'n Save Ormiston -> Origin,73.62,1.1138,0.978,0.9372,0.9372,1.0595,1.3176,1.5213,1.3447
20,Origin -> Pak 'n Save Papakura -> Origin,77.86,1.0018,0.8734,0.8348,0.8348,0.9504,1.2201,1.4513,1.2843
21,Origin -> Pak 'n Save Royal Oak -> Origin,26.89,1.413,1.3387,1.2271,1.2271,1.2643,1.3387,1.4502,1.4874
22,Origin -> Pak 'n Save Sylvia Park -> Origin,65.49,1.0077,0.9161,0.9161,0.9161,0.9772,1.0383,1.1299,1.0841
23,Origin -> Pak 'n Save Wairau Road -> Origin,71.35,1.1212,0.9671,0.897,0.897,0.939,1.0512,1.2334,1.2194
24,Origin -> Pak 'n Save Westgate -> Origin,53.98,1.13,0.9633,0.9262,0.9262,0.9447,1.0003,1.1115,1.1485
25,Origin -> Four Square Botany Junction -> Four Square Cockle Bay -> Origin,101.23,1.0373,0.9681,0.9385,0.9187,1.0373,1.1459,1.2348,1.1558
26,Origin -> New World Botany -> Origin,79.86,1.0894,0.9517,0.9141,0.9266,1.0518,1.177,1.2897,1.2146
27,Origin -> Four Square Fair Price Henderson -> New World Mt Roskill -> Origin,55.34,1.2648,1.1022,1.048,1.048,1.1022,1.2106,1.3732,1.3913
28,Origin -> Four Square Glen Eden -> New World Green Bay -> Origin,45.43,1.2105,1.1225,1.0785,1.1005,1.0785,1.1005,1.1445,1.1885
29,Origin -> New World Browns Bay -> Origin,95.54,0.9943,0.8897,0.8583,0.8478,0.8792,0.942,1.0571,1.0467
30,Origin -> New World Metro Queen St -> New World Victoria Park -> Origin,52.45,1.2582,1.1629,1.1057,1.1057,1.1057,1.1439,1.2773,1.3154
31,Origin -> Four Square Remuera -> New World Metro Shore City -> Origin,90.79,1.0683,0.9802,0.9252,0.9252,0.9912,1.1234,1.2556,1.1565
32,Origin -> New World Devonport -> Origin,91.8,1.0131,0.9041,0.8497,0.8497,0.9041,1.024,1.1656,1.1002
33,Origin -> Four Square Pakuranga Heights -> Four Square St Heliers -> Origin,91.96,1.0874,1.0004,0.9678,0.9678,1.0222,1.1418,1.2179,1.1526
34,Origin -> Four Square Torbay -> Four Square Lancaster -> Origin,122.36,0.9562,0.8744,0.8499,0.8417,0.8908,0.9725,1.0542,1.0134
35,Origin -> New World Eastridge -> Origin,69.26,1.0685,0.9818,0.9096,0.9096,0.9241,1.0107,1.1551,1.1407
36,Origin -> New World Milford -> Origin,75.45,1.0868,0.9542,0.8747,0.8747,0.9145,1.0205,1.1928,1.1663
37,Origin -> New World Mt Albert -> Four Square Britomart -> Origin,52.48,1.2958,1.1624,1.1052,1.1052,1.1243,1.2005,1.372,1.372
38,Origin -> New World New Lynn -> Origin,27.69,1.4804,1.336,1.2638,1.2638,1.2999,1.3721,1.4443,1.4804
39,Origin -> New World Ormiston -> Origin,72.28,1.1207,0.9823,0.9408,0.9408,1.0515,1.3144,1.5358,1.3697
40,Origin -> New World Papakura -> Origin,80.63,1.0294,0.8806,0.831,0.831,0.9426,1.2155,1.4387,1.2651
