RouteIndex,Stops,Pallets,OriginalEst_mins,08:00,09:00,10:00,11:00,14:00,15:00,16:00,17:00
1,Origin -> New World Albany -> Origin,8.0,233,87,77,73,72,75,81,92,94
2,Origin -> New World Birkenhead -> Origin,7.0,196,79,69,64,64,66,72,84,84
3,Origin -> New World Hobsonville -> Origin,7.0,188,65,55,53,53,54,57,65,68
4,Origin -> New World Point Chevalier -> Four Square Hobsonville -> Origin,9.0,234,72,63,61,63,65,70,77,77
5,Origin -> New World Howick -> Origin,7.0,204,89,80,76,77,83,93,100,97
6,Origin -> New World Southmall -> Origin,7.0,189,69,60,56,56,62,81,100,91
7,Origin -> New World Stonefields -> Origin,7.0,194,74,71,66,66,69,73,80,77
8,Origin -> Pak 'n Save Albany -> Origin,9.0,250,84,74,70,69,73,78,89,90
9,Origin -> Pak 'n Save Botany -> Origin,9.0,245,87,79,74,75,82,93,102,96
10,Origin -> Pak 'n Save Clendon -> Origin,10.0,244,72,63,60,60,66,82,98,89
11,Origin -> New World Long Bay -> Origin,7.0,228,98,88,84,83,87,93,104,105
12,Origin -> Pak 'n Save Glen Innes -> Origin,10.0,264,84,78,77,77,80,85,91,87
13,Origin -> Pak 'n Save Highland Park -> Origin,9.0,234,81,72,69,69,75,84,92,90
14,Origin -> Pak 'n Save Henderson -> Origin,10.0,236,64,55,52,52,54,59,67,68
15,Origin -> Pak 'n Save Lincoln Road -> Origin,10.0,227,59,50,47,47,49,55,63,64
16,Origin -> Pak 'n Save Mangere -> Origin,9.0,202,46,42,40,40,42,46,51,53
17,Origin -> Pak 'n Save Manukau -> Origin,9.0,217,63,55,52,52,57,72,90,83
18,Origin -> Pak 'n Save Mt Albert -> Origin,9.0,184,31,30,29,29,30,30,31,32
19,Origin -> Pak 'n Save Ormiston -> Origin,10.0,255,82,72,69,69,78,97,112,99
20,Origin -> Pak 'n Save Papakura -> Origin,10.0,257,78,68,65,65,74,95,113,100
21,Origin -> Pak 'n Save Royal Oak -> Origin,10.0,206,38,36,33,33,34,36,39,40
22,Origin -> Pak 'n Save Sylvia Park -> Origin,11.0,265,66,60,60,60,64,68,74,71
23,Origin -> Pak 'n Save Wairau Road -> Origin,9.0,235,80,69,64,64,67,75,88,87
24,Origin -> Pak 'n Save Westgate -> Origin,10.0,234,61,52,50,50,51,54,60,62
25,Origin -> Four Square Botany Junction -> Four Square Cockle Bay -> Origin,6.0,201,105,98,95,93,105,116,125,117
26,Origin -> New World Botany -> Origin,7.0,207,87,76,73,74,84,94,103,97
27,Origin -> Four Square Fair Price Henderson -> New World Mt Roskill -> Origin,10.0,234,70,61,58,58,61,67,76,77
28,Origin -> Four Square Glen Eden -> New World Green Bay -> Origin,10.0,225,55,51,49,50,49,50,52,54
29,Origin -> New World Browns Bay -> Origin,7.0,222,95,85,82,81,84,90,101,100
30,Origin -> New World Metro Queen St -> New World Victoria Park -> Origin,10.0,234,66,61,58,58,58,60,67,69
31,Origin -> Four Square Remuera -> New World Metro Shore City -> Origin,7.0,218,97,89,84,84,90,102,114,105
32,Origin -> New World Devonport -> Origin,7.0,220,93,83,78,78,83,94,107,101
33,Origin -> Four Square Pakuranga Heights -> Four Square St Heliers -> Origin,6.0,205,100,92,89,89,94,105,112,106
34,Origin -> Four Square Torbay -> Four Square Lancaster -> Origin,6.0,230,117,107,104,103,109,119,129,124
35,Origin -> New World Eastridge -> Origin,7.0,199,74,68,63,63,64,70,80,79
36,Origin -> New World Milford -> Origin,7.0,205,82,72,66,66,69,77,90,88
37,Origin -> New World Mt Albert -> Four Square Britomart -> Origin,10.0,232,68,61,58,58,59,63,72,72
38,Origin -> New World New Lynn -> Origin,7.0,154,41,37,35,35,36,38,40,41
39,Origin -> New World Ormiston -> Origin,7.0,200,81,71,68,68,76,95,111,99
40,Origin -> New World Papakura -> Origin,7.0,206,83,71,67,67,76,98,116,102
