Destination,Time,ToStore_mins,FromStore_mins
New World Albany,08:00,37,50
New World Albany,09:00,34,39
New World Albany,10:00,32,35
New World Albany,11:00,32,34
New World Albany,14:00,33,34
New World Albany,15:00,36,36
New World Albany,16:00,43,38
New World Albany,17:00,45,42
New World Birkenhead,08:00,38,37
New World Birkenhead,09:00,33,32
New World Birkenhead,10:00,30,29
New World Birkenhead,11:00,29,28
New World Birkenhead,14:00,30,28
New World Birkenhead,15:00,32,30
New World Birkenhead,16:00,38,33
New World Birkenhead,17:00,42,37
New World Botany,08:00,39,43
New World Botany,09:00,36,37
New World Botany,10:00,35,33
New World Botany,11:00,34,33
New World Botany,14:00,36,35
New World Botany,15:00,39,42
New World Botany,16:00,44,50
New World Botany,17:00,46,51
New World Browns Bay,08:00,43,53
New World Browns Bay,09:00,40,42
New World Browns Bay,10:00,38,38
New World Browns Bay,11:00,37,36
New World Browns Bay,14:00,39,37
New World Browns Bay,15:00,42,38
New World Browns Bay,16:00,47,40
New World Browns Bay,17:00,50,43
New World Devonport,08:00,46,42
New World Devonport,09:00,40,38
New World Devonport,10:00,36,35
New World Devonport,11:00,36,35
New World Devonport,14:00,37,37
New World Devonport,15:00,41,40
New World Devonport,16:00,48,46
New World Devonport,17:00,51,49
New World Eastridge,08:00,37,34
New World Eastridge,09:00,33,30
New World Eastridge,10:00,30,28
New World Eastridge,11:00,30,28
New World Eastridge,14:00,30,29
New World Eastridge,15:00,31,31
New World Eastridge,16:00,33,36
New World Eastridge,17:00,35,38
New World Green Bay,08:00,13,18
New World Green Bay,09:00,13,15
New World Green Bay,10:00,13,13
New World Green Bay,11:00,13,13
New World Green Bay,14:00,13,13
New World Green Bay,15:00,14,13
New World Green Bay,16:00,16,14
New World Green Bay,17:00,17,14
New World Hobsonville,08:00,24,39
New World Hobsonville,09:00,23,29
New World Hobsonville,10:00,23,25
New World Hobsonville,11:00,23,25
New World Hobsonville,14:00,23,25
New World Hobsonville,15:00,26,25
New World Hobsonville,16:00,32,26
New World Hobsonville,17:00,35,26
New World Howick,08:00,42,46
New World Howick,09:00,38,39
New World Howick,10:00,35,36
New World Howick,11:00,35,36
New World Howick,14:00,37,38
New World Howick,15:00,40,42
New World Howick,16:00,45,47
New World Howick,17:00,49,47
New World Long Bay,08:00,43,56
New World Long Bay,09:00,40,44
New World Long Bay,10:00,38,40
New World Long Bay,11:00,38,38
New World Long Bay,14:00,39,39
New World Long Bay,15:00,43,40
New World Long Bay,16:00,50,42
New World Long Bay,17:00,52,45
New World Metro Shore City,08:00,36,33
New World Metro Shore City,09:00,31,29
New World Metro Shore City,10:00,28,27
New World Metro Shore City,11:00,28,27
New World Metro Shore City,14:00,28,28
New World Metro Shore City,15:00,31,30
New World Metro Shore City,16:00,37,33
New World Metro Shore City,17:00,40,37
New World Metro Queen St,08:00,31,23
New World Metro Queen St,09:00,27,22
New World Metro Queen St,10:00,24,22
New World Metro Queen St,11:00,23,22
New World Metro Queen St,14:00,23,23
New World Metro Queen St,15:00,23,24
New World Metro Queen St,16:00,24,27
New World Metro Queen St,17:00,26,32
New World Milford,08:00,39,37
New World Milford,09:00,35,33
New World Milford,10:00,31,29
New World Milford,11:00,31,29
New World Milford,14:00,32,29
New World Milford,15:00,35,32
New World Milford,16:00,41,36
New World Milford,17:00,44,40
New World Mt Albert,08:00,14,14
New World Mt Albert,09:00,13,14
New World Mt Albert,10:00,12,13
New World Mt Albert,11:00,12,13
New World Mt Albert,14:00,13,13
New World Mt Albert,15:00,13,14
New World Mt Albert,16:00,14,14
New World Mt Albert,17:00,14,15
New World Mt Roskill,08:00,4,7
New World Mt Roskill,09:00,4,6
New World Mt Roskill,10:00,4,6
New World Mt Roskill,11:00,4,6
New World Mt Roskill,14:00,4,6
New World Mt Roskill,15:00,4,7
New World Mt Roskill,16:00,4,7
New World Mt Roskill,17:00,4,7
New World New Lynn,08:00,15,19
New World New Lynn,09:00,15,17
New World New Lynn,10:00,14,15
New World New Lynn,11:00,14,15
New World New Lynn,14:00,15,15
New World New Lynn,15:00,16,15
New World New Lynn,16:00,17,16
New World New Lynn,17:00,18,16
New World Newmarket,08:00,25,22
New World Newmarket,09:00,23,22
New World Newmarket,10:00,22,21
New World Newmarket,11:00,21,21
New World Newmarket,14:00,22,22
New World Newmarket,15:00,23,23
New World Newmarket,16:00,24,26
New World Newmarket,17:00,24,27
New World Ormiston,08:00,37,41
New World Ormiston,09:00,33,35
New World Ormiston,10:00,31,31
New World Ormiston,11:00,32,31
New World Ormiston,14:00,33,33
New World Ormiston,15:00,38,39
New World Ormiston,16:00,45,51
New World Ormiston,17:00,47,52
New World Papakura,08:00,34,48
New World Papakura,09:00,31,37
New World Papakura,10:00,30,32
New World Papakura,11:00,29,32
New World Papakura,14:00,32,34
New World Papakura,15:00,40,40
New World Papakura,16:00,52,51
New World Papakura,17:00,52,53
New World Papatoetoe,08:00,27,27
New World Papatoetoe,09:00,25,25
New World Papatoetoe,10:00,23,23
New World Papatoetoe,11:00,22,23
New World Papatoetoe,14:00,23,25
New World Papatoetoe,15:00,26,29
New World Papatoetoe,16:00,32,38
New World Papatoetoe,17:00,33,41
New World Point Chevalier,08:00,18,18
New World Point Chevalier,09:00,17,17
New World Point Chevalier,10:00,16,16
New World Point Chevalier,11:00,16,16
New World Point Chevalier,14:00,16,17
New World Point Chevalier,15:00,16,17
New World Point Chevalier,16:00,17,18
New World Point Chevalier,17:00,18,19
New World Remuera,08:00,30,26
New World Remuera,09:00,28,25
New World Remuera,10:00,26,24
New World Remuera,11:00,25,24
New World Remuera,14:00,25,25
New World Remuera,15:00,27,26
New World Remuera,16:00,28,29
New World Remuera,17:00,28,29
New World Southmall,08:00,30,38
New World Southmall,09:00,27,31
New World Southmall,10:00,25,27
New World Southmall,11:00,25,26
New World Southmall,14:00,27,28
New World Southmall,15:00,34,33
New World Southmall,16:00,44,44
New World Southmall,17:00,45,48
New World Stonefields,08:00,33,33
New World Stonefields,09:00,30,30
New World Stonefields,10:00,28,29
New World Stonefields,11:00,28,29
New World Stonefields,14:00,28,30
New World Stonefields,15:00,29,32
New World Stonefields,16:00,32,36
New World Stonefields,17:00,32,38
New World Victoria Park,08:00,28,22
New World Victoria Park,09:00,25,21
New World Victoria Park,10:00,21,20
New World Victoria Park,11:00,20,20
New World Victoria Park,14:00,20,21
New World Victoria Park,15:00,21,22
New World Victoria Park,16:00,23,24
New World Victoria Park,17:00,24,28
Pak'nSave Albany,08:00,36,48
Pak'nSave Albany,09:00,34,38
Pak'nSave Albany,10:00,32,33
Pak'nSave Albany,11:00,32,32
Pak'nSave Albany,14:00,33,32
Pak'nSave Albany,15:00,36,34
Pak'nSave Albany,16:00,41,37
Pak'nSave Albany,17:00,43,40
Pak'nSave Botany,08:00,40,44
Pak'nSave Botany,09:00,36,38
Pak'nSave Botany,10:00,34,34
Pak'nSave Botany,11:00,34,34
Pak'nSave Botany,14:00,35,37
Pak'nSave Botany,15:00,38,43
Pak'nSave Botany,16:00,43,49
Pak'nSave Botany,17:00,45,50
Pak'nSave Clendon,08:00,32,36
Pak'nSave Clendon,09:00,29,30
Pak'nSave Clendon,10:00,27,27
Pak'nSave Clendon,11:00,27,27
Pak'nSave Clendon,14:00,28,28
Pak'nSave Clendon,15:00,32,34
Pak'nSave Clendon,16:00,39,45
Pak'nSave Clendon,17:00,41,48
Pak'nSave Glen Innes,08:00,39,39
Pak'nSave Glen Innes,09:00,36,36
Pak'nSave Glen Innes,10:00,34,35
Pak'nSave Glen Innes,11:00,33,35
Pak'nSave Glen Innes,14:00,34,36
Pak'nSave Glen Innes,15:00,36,39
Pak'nSave Glen Innes,16:00,38,43
Pak'nSave Glen Innes,17:00,38,45
Pak'nSave Highland Park,08:00,38,40
Pak'nSave Highland Park,09:00,34,35
Pak'nSave Highland Park,10:00,31,32
Pak'nSave Highland Park,11:00,31,32
